=== 1142144651168288.jpg ===
image size                  : 2704 x 2024
depth model                 : depth-anything/Depth-Anything-V2-Metric-Outdoor-Large-hf
focal length fy (assumed)   : 1134.5 px  (HFOV 100.0 deg)
depth in verge (1/50/99 pct): 5.44 / 21.05 / 79.68 m
verge px / grass px         : 713089 / 593846
vertical px in verge        : 330197
cols with non-zero l_j      : 1531 / 2704
l_j (m) min/median/max      : 0.052 / 0.655 / 3.480

DBSCAN(eps=0.5 m, min_samples=4)
  -> 77 patches

Rank |   Patch center (X,Z) m | Height (m) | n_cols
------------------------------------------------------------
   1 |       (+14.42, +18.03) |      3.479 |     13
   2 |       (+16.22, +20.56) |      2.705 |      6
   3 |       (+18.19, +21.70) |      2.095 |      5
   4 |       (-22.12, +18.99) |      2.081 |     13
   5 |       (-21.68, +19.54) |      2.033 |      8
   6 |       (+11.96, +15.72) |      1.776 |      4
   7 |       (-21.80, +22.22) |      1.709 |      7
   8 |       (-19.88, +20.86) |      1.564 |     13
   9 |       (-26.37, +25.11) |      1.529 |     21
  10 |       (+20.26, +22.98) |      1.489 |    140
  11 |       (+13.05, +19.71) |      1.440 |     21
  12 |       (-18.66, +20.63) |      1.394 |     48
  13 |       (-18.94, +18.12) |      1.376 |    100
  14 |       (+15.41, +21.18) |      1.359 |     18
  15 |       (+18.20, +23.80) |      1.357 |      8
  16 |       (+17.01, +18.99) |      1.334 |     23
  17 |       (-18.86, +24.30) |      1.329 |    161
  18 |       (+12.78, +26.65) |      1.327 |     63
  19 |       (+20.69, +18.19) |      1.272 |     13
  20 |       (+14.52, +19.58) |      1.261 |      7
  21 |       (+15.72, +15.33) |      1.198 |     22
  22 |       (+11.92, +17.57) |      1.197 |     47
  23 |       (+16.77, +19.92) |      1.179 |      7
  24 |       (-23.89, +20.41) |      1.174 |      5
  25 |       (+20.22, +18.81) |      1.170 |     27
  26 |       (-26.15, +24.00) |      1.164 |     14
  27 |       (-25.54, +23.57) |      1.158 |      8
  28 |       (+19.87, +27.23) |      1.150 |      5
  29 |       (-24.86, +25.37) |      1.148 |      8
  30 |       (-19.22, +16.25) |      1.088 |     11
